date_time: 06/08/2023 23:09, response_time: 0.083425, up_time: 100%
date_time: 06/08/2023 23:12, response_time: 0.102195, up_time: 100%
date_time: 06/08/2023 23:35, response_time: 0.111124, up_time: 100%
date_time: 07/08/2023 02:30, response_time: 0.064077, up_time: 100%
date_time: 07/08/2023 09:09, response_time: 0.058277, up_time: 100%
date_time: 08/08/2023 09:06, response_time: 0.063561, up_time: 100%
date_time: 09/08/2023 09:11, response_time: 0.088161, up_time: 100%
date_time: 10/08/2023 09:10, response_time: 0.106896, up_time: 100%
date_time: 11/08/2023 08:56, response_time: 0.153582, up_time: 100%
date_time: 12/08/2023 08:55, response_time: 0.102623, up_time: 100%
date_time: 13/08/2023 09:00, response_time: 0.276129, up_time: 100%
date_time: 14/08/2023 08:58, response_time: 0.078193, up_time: 100%
date_time: 15/08/2023 08:57, response_time: 0.104432, up_time: 100%
date_time: 16/08/2023 08:57, response_time: 0.172983, up_time: 100%
date_time: 17/08/2023 08:56, response_time: 0.095579, up_time: 100%
date_time: 18/08/2023 08:57, response_time: 0.098343, up_time: 100%
date_time: 19/08/2023 08:55, response_time: 0.092995, up_time: 100%
date_time: 20/08/2023 08:59, response_time: 0.240082, up_time: 100%
date_time: 21/08/2023 08:57, response_time: 0.093577, up_time: 100%
date_time: 22/08/2023 08:58, response_time: 0.095622, up_time: 100%
date_time: 23/08/2023 08:57, response_time: 0.089966, up_time: 100%
date_time: 24/08/2023 08:57, response_time: 0.082172, up_time: 100%
date_time: 25/08/2023 08:58, response_time: 0.130483, up_time: 100%
date_time: 26/08/2023 08:56, response_time: 0.091177, up_time: 100%
date_time: 27/08/2023 09:01, response_time: 0.057912, up_time: 100%
date_time: 28/08/2023 08:59, response_time: 0.110417, up_time: 100%
date_time: 29/08/2023 08:59, response_time: 0.099944, up_time: 100%
date_time: 30/08/2023 08:58, response_time: 0.065958, up_time: 100%
date_time: 31/08/2023 08:59, response_time: 0.082890, up_time: 100%
date_time: 01/09/2023 09:02, response_time: 0.100991, up_time: 100%
date_time: 02/09/2023 08:56, response_time: 0.082826, up_time: 100%
date_time: 03/09/2023 09:01, response_time: 0.076595, up_time: 100%
date_time: 04/09/2023 08:59, response_time: 0.055894, up_time: 100%
date_time: 05/09/2023 08:57, response_time: 0.060406, up_time: 100%
date_time: 06/09/2023 08:58, response_time: 0.236612, up_time: 100%
date_time: 07/09/2023 08:58, response_time: 0.085536, up_time: 100%
date_time: 08/09/2023 08:58, response_time: 0.112469, up_time: 100%
date_time: 09/09/2023 08:57, response_time: 0.113348, up_time: 100%
date_time: 10/09/2023 09:02, response_time: 0.098490, up_time: 100%
date_time: 11/09/2023 08:59, response_time: 0.088252, up_time: 100%
date_time: 12/09/2023 08:57, response_time: 0.083893, up_time: 100%
date_time: 13/09/2023 09:00, response_time: 0.424298, up_time: 100%
date_time: 14/09/2023 08:58, response_time: 0.102914, up_time: 100%
date_time: 15/09/2023 08:59, response_time: 0.394713, up_time: 100%
date_time: 16/09/2023 08:57, response_time: 0.086562, up_time: 100%
date_time: 17/09/2023 09:02, response_time: 0.212635, up_time: 100%
date_time: 18/09/2023 08:59, response_time: 0.241323, up_time: 100%
date_time: 19/09/2023 08:59, response_time: 0.065541, up_time: 100%
date_time: 20/09/2023 08:59, response_time: 0.251379, up_time: 100%
date_time: 21/09/2023 08:59, response_time: 0.067538, up_time: 100%
date_time: 22/09/2023 08:59, response_time: 0.104067, up_time: 100%
date_time: 23/09/2023 08:57, response_time: 0.418522, up_time: 100%
date_time: 24/09/2023 09:02, response_time: 0.387851, up_time: 100%
date_time: 25/09/2023 09:00, response_time: 0.110015, up_time: 100%
date_time: 26/09/2023 09:00, response_time: 0.064707, up_time: 100%
date_time: 27/09/2023 09:00, response_time: 0.247437, up_time: 100%
date_time: 28/09/2023 08:59, response_time: 0.092395, up_time: 100%
date_time: 29/09/2023 08:59, response_time: 0.234814, up_time: 100%
date_time: 30/09/2023 08:58, response_time: 0.068856, up_time: 100%
date_time: 01/10/2023 09:07, response_time: 0.120904, up_time: 100%
date_time: 02/10/2023 09:00, response_time: 0.083383, up_time: 100%
date_time: 03/10/2023 09:00, response_time: 0.252693, up_time: 100%
date_time: 04/10/2023 09:00, response_time: 0.597872, up_time: 100%
date_time: 05/10/2023 09:00, response_time: 0.085153, up_time: 100%
date_time: 06/10/2023 09:00, response_time: 0.082325, up_time: 100%
date_time: 07/10/2023 08:59, response_time: 0.086399, up_time: 100%
date_time: 08/10/2023 09:04, response_time: 0.078565, up_time: 100%
date_time: 09/10/2023 09:00, response_time: 0.057219, up_time: 100%
date_time: 10/10/2023 08:59, response_time: 0.285958, up_time: 100%
date_time: 11/10/2023 08:59, response_time: 0.093639, up_time: 100%
date_time: 12/10/2023 08:58, response_time: 0.091087, up_time: 100%
date_time: 13/10/2023 09:01, response_time: 0.102538, up_time: 100%
